area,x1,x2,y1,y2,x,y,color,label,dim_x,dim_y,dim_x_y_code,device_group,gi,gj
441.0,11781.0,11802.0,8988.0,9009.0,11791.5,8998.5,#56ae57,0_8,21.0,21.0,21.0_21.0,1,29,33
441.0,2478.0,2499.0,1470.0,1491.0,2488.5,1480.5,#56ae57,0_135,21.0,21.0,21.0_21.0,1,29,34
441.0,16863.0,16884.0,9177.0,9198.0,16873.5,9187.5,#acc2d9,0_92,21.0,21.0,21.0_21.0,0,24,48
441.0,18774.0,18795.0,7959.0,7980.0,18784.5,7969.5,#acc2d9,0_134,21.0,21.0,21.0_21.0,0,24,49
441.0,16275.0,16296.0,9555.0,9576.0,16285.5,9565.5,#56ae57,0_33,21.0,21.0,21.0_21.0,1,29,35
441.0,3276.0,3297.0,8925.0,8946.0,3286.5,8935.5,#56ae57,0_71,21.0,21.0,21.0_21.0,1,29,36
441.0,12705.0,12726.0,9030.0,9051.0,12715.5,9040.5,#56ae57,0_141,21.0,21.0,21.0_21.0,1,29,37
441.0,3255.0,3276.0,1407.0,1428.0,3265.5,1417.5,#56ae57,0_75,21.0,21.0,21.0_21.0,1,29,38
441.0,3276.0,3297.0,2268.0,2289.0,3286.5,2278.5,#56ae57,0_139,21.0,21.0,21.0_21.0,1,29,39
441.0,3318.0,3339.0,2226.0,2247.0,3328.5,2236.5,#56ae57,0_80,21.0,21.0,21.0_21.0,1,29,40
441.0,12852.0,12873.0,1617.0,1638.0,12862.5,1627.5,#acc2d9,0_24,21.0,21.0,21.0_21.0,0,24,50
441.0,17850.0,17871.0,8547.0,8568.0,17860.5,8557.5,#acc2d9,0_68,21.0,21.0,21.0_21.0,0,24,51
441.0,15624.0,15645.0,9975.0,9996.0,15634.5,9985.5,#56ae57,0_72,21.0,21.0,21.0_21.0,1,29,41
441.0,12600.0,12621.0,8232.0,8253.0,12610.5,8242.5,#56ae57,0_121,21.0,21.0,21.0_21.0,1,29,42
441.0,15603.0,15624.0,357.0,378.0,15613.5,367.5,#acc2d9,0_104,21.0,21.0,21.0_21.0,0,24,52
441.0,12747.0,12768.0,2310.0,2331.0,12757.5,2320.5,#acc2d9,0_83,21.0,21.0,21.0_21.0,0,24,53
441.0,3213.0,3234.0,2310.0,2331.0,3223.5,2320.5,#56ae57,0_120,21.0,21.0,21.0_21.0,1,29,43
441.0,3234.0,3255.0,8274.0,8295.0,3244.5,8284.5,#56ae57,0_84,21.0,21.0,21.0_21.0,1,29,44
441.0,16170.0,16191.0,672.0,693.0,16180.5,682.5,#acc2d9,0_108,21.0,21.0,21.0_21.0,0,24,54
441.0,12747.0,12768.0,8400.0,8421.0,12757.5,8410.5,#56ae57,0_81,21.0,21.0,21.0_21.0,1,29,45
441.0,3171.0,3192.0,9051.0,9072.0,3181.5,9061.5,#56ae57,0_86,21.0,21.0,21.0_21.0,1,29,46
441.0,12789.0,12810.0,2268.0,2289.0,12799.5,2278.5,#acc2d9,0_7,21.0,21.0,21.0_21.0,0,24,55
441.0,12600.0,12621.0,9135.0,9156.0,12610.5,9145.5,#56ae57,0_6,21.0,21.0,21.0_21.0,1,29,47
441.0,12705.0,12726.0,1449.0,1470.0,12715.5,1459.5,#acc2d9,0_27,21.0,21.0,21.0_21.0,0,24,56
441.0,12663.0,12684.0,9072.0,9093.0,12673.5,9082.5,#56ae57,0_23,21.0,21.0,21.0_21.0,1,29,48
441.0,3213.0,3234.0,9009.0,9030.0,3223.5,9019.5,#56ae57,0_19,21.0,21.0,21.0_21.0,1,29,49
441.0,17787.0,17808.0,1575.0,1596.0,17797.5,1585.5,#acc2d9,0_58,21.0,21.0,21.0_21.0,0,24,57
441.0,12684.0,12705.0,8316.0,8337.0,12694.5,8326.5,#56ae57,0_28,21.0,21.0,21.0_21.0,1,29,50
441.0,3381.0,3402.0,1554.0,1575.0,3391.5,1564.5,#56ae57,0_18,21.0,21.0,21.0_21.0,1,29,51
441.0,3150.0,3171.0,8190.0,8211.0,3160.5,8200.5,#56ae57,0_142,21.0,21.0,21.0_21.0,1,29,52
441.0,16212.0,16233.0,9597.0,9618.0,16222.5,9607.5,#56ae57,0_133,21.0,21.0,21.0_21.0,1,29,53
441.0,14994.0,15015.0,10374.0,10395.0,15004.5,10384.5,#56ae57,0_40,21.0,21.0,21.0_21.0,1,29,54
441.0,12663.0,12684.0,2373.0,2394.0,12673.5,2383.5,#acc2d9,0_47,21.0,21.0,21.0_21.0,0,24,58
441.0,12747.0,12768.0,1491.0,1512.0,12757.5,1501.5,#acc2d9,0_17,21.0,21.0,21.0_21.0,0,24,59
441.0,3087.0,3108.0,8148.0,8169.0,3097.5,8158.5,#56ae57,0_55,21.0,21.0,21.0_21.0,1,29,55
441.0,18501.0,18522.0,1974.0,1995.0,18511.5,1984.5,#acc2d9,0_14,21.0,21.0,21.0_21.0,0,24,60
441.0,12789.0,12810.0,1533.0,1554.0,12799.5,1543.5,#acc2d9,0_16,21.0,21.0,21.0_21.0,0,24,61
441.0,12642.0,12663.0,8274.0,8295.0,12652.5,8284.5,#56ae57,0_38,21.0,21.0,21.0_21.0,1,29,56
441.0,3360.0,3381.0,2163.0,2184.0,3370.5,2173.5,#56ae57,0_12,21.0,21.0,21.0_21.0,1,29,57
441.0,16338.0,16359.0,9513.0,9534.0,16348.5,9523.5,#56ae57,0_63,21.0,21.0,21.0_21.0,1,29,58
441.0,12747.0,12768.0,8967.0,8988.0,12757.5,8977.5,#56ae57,0_96,21.0,21.0,21.0_21.0,1,29,59
441.0,15750.0,15771.0,9891.0,9912.0,15760.5,9901.5,#56ae57,0_129,21.0,21.0,21.0_21.0,1,29,60
441.0,11970.0,11991.0,2310.0,2331.0,11980.5,2320.5,#56ae57,0_48,21.0,21.0,21.0_21.0,1,29,61
441.0,18312.0,18333.0,8253.0,8274.0,18322.5,8263.5,#acc2d9,0_131,21.0,21.0,21.0_21.0,0,24,62
441.0,2331.0,2352.0,8316.0,8337.0,2341.5,8326.5,#56ae57,0_138,21.0,21.0,21.0_21.0,1,29,62
441.0,3318.0,3339.0,1470.0,1491.0,3328.5,1480.5,#56ae57,0_103,21.0,21.0,21.0_21.0,1,29,63
441.0,16884.0,16905.0,1071.0,1092.0,16894.5,1081.5,#acc2d9,0_62,21.0,21.0,21.0_21.0,0,24,63
441.0,17073.0,17094.0,1176.0,1197.0,17083.5,1186.5,#acc2d9,0_106,21.0,21.0,21.0_21.0,0,24,64
441.0,18606.0,18627.0,8064.0,8085.0,18616.5,8074.5,#acc2d9,0_73,21.0,21.0,21.0_21.0,0,24,65
441.0,12600.0,12621.0,1386.0,1407.0,12610.5,1396.5,#acc2d9,0_105,21.0,21.0,21.0_21.0,0,24,66
441.0,19215.0,19236.0,2373.0,2394.0,19225.5,2383.5,#acc2d9,0_109,21.0,21.0,21.0_21.0,0,24,67
441.0,15981.0,16002.0,9744.0,9765.0,15991.5,9754.5,#56ae57,0_87,21.0,21.0,21.0_21.0,1,29,64
441.0,15792.0,15813.0,462.0,483.0,15802.5,472.5,#acc2d9,0_67,21.0,21.0,21.0_21.0,0,24,68
441.0,18249.0,18270.0,8295.0,8316.0,18259.5,8305.5,#acc2d9,0_66,21.0,21.0,21.0_21.0,0,24,69
441.0,17094.0,17115.0,9030.0,9051.0,17104.5,9040.5,#acc2d9,0_11,21.0,21.0,21.0_21.0,0,24,70
441.0,2562.0,2583.0,1386.0,1407.0,2572.5,1396.5,#56ae57,0_117,21.0,21.0,21.0_21.0,1,29,65
441.0,17493.0,17514.0,8778.0,8799.0,17503.5,8788.5,#acc2d9,0_5,21.0,21.0,21.0_21.0,0,24,71
441.0,3129.0,3150.0,9093.0,9114.0,3139.5,9103.5,#56ae57,0_110,21.0,21.0,21.0_21.0,1,29,66
441.0,3276.0,3297.0,8337.0,8358.0,3286.5,8347.5,#56ae57,0_98,21.0,21.0,21.0_21.0,1,29,67
441.0,3192.0,3213.0,1365.0,1386.0,3202.5,1375.5,#56ae57,0_111,21.0,21.0,21.0_21.0,1,29,68
